name,navicode,latitude,longitude,type
스타벅스 역삼아레나빌딩,3232A1,37.501087,127.043069,1
스타벅스 논현역사거리,3232A2,37.510178,127.022223,1
스타벅스 신사역성일빌딩,3232A3,37.5139309,127.0206057,1
스타벅스 국기원사거리,3232A4,37.499517,127.031495,1
스타벅스 대치재경빌딩,3232A5,37.494668,127.062583,1
스타벅스 봉은사역,3232A6,37.515,127.063196,1
스타벅스 압구정윤성빌딩,3232A7,37.5227934,127.0286009,1
스타벅스 코엑스별마당,3232A8,37.51015,127.060275,1
스타벅스 삼성역섬유센터R,3232A9,37.50775,127.060651,1
스타벅스 압구정R,3232A10,37.5273669,127.033061,1
스타벅스 수서역R,3232A11,37.488008,127.10265,1
스타벅스 양재강남빌딩R,3232A12,37.485192,127.036685,1
스타벅스 선릉동신빌딩R,3232A13,37.505321,127.050409,1
스타벅스 봉은사로선정릉,3232A14,37.51131683,127.0484634,1
스타벅스 강남오거리,3232A15,37.502117,127.026672,1
스타벅스 스타필드코엑스몰R,3232A16,37.50999,127.061455,1
스타벅스 강남구청정문,3232A17,37.518181,127.045995,1
스타벅스 도곡공원,3232A18,37.492805,127.041309,1
스타벅스 강남R,3232A19,37.497711,127.028439,1
스타벅스 대치은마사거리,3232A20,37.498973,127.060172,1
스타벅스 청담영동대로,3232A21,37.522156,127.056449,1
스타벅스 압구정,3232A22,37.526283,127.02956,1
스타벅스 신사가로수,3232A23,37.521933,127.022521,1
스타벅스 청담스타R,3232A24,37.525216,127.041827,1
스타벅스 강남우성,3232A25,37.492396,127.03091,1
스타벅스 학동사거리,3232A26,37.5223645,127.0379543,1
스타벅스 대치사거리,3232A27,37.503331,127.058817,1
스타벅스 포스코사거리,3232A28,37.5075307,127.0574271,1
스타벅스 을지병원사거리,3232A29,37.5191632,127.0286446,1
스타벅스 신사역,3232A30,37.5162021,127.0207428,1
스타벅스 도곡역,3232A31,37.492167,127.057398,1
스타벅스 서울세관사거리,3232A32,37.514887,127.035653,1
스타벅스 청담사거리,3232A33,37.5236351,127.0468651,1
스타벅스 한티역,3232A34,37.496801,127.055055,1
스타벅스 역삼초교사거리,3232A35,37.4941059,127.0329973,1
스타벅스 코엑스몰,3232A36,37.513715,127.059245,1
스타벅스 가로수길,3232A37,37.5231593,127.021625,1
스타벅스 역삼대로,3232A38,37.501623,127.039375,1
스타벅스 역삼포스코,3232A39,37.499721,127.033582,1
스타벅스 강남대로,3232A40,37.50314,127.025546,1
스타벅스 청담,3232A41,37.5243631,127.0515599,1
스타벅스 삼성도심공항,3232A42,37.5097863,127.0579134,1
스타벅스 삼성교,3232A43,37.507794,127.06517,1
스타벅스 학동역,3232A44,37.51464884,127.0307302,1
스타벅스 대치,3232A45,37.49966175,127.0622171,1
스타벅스 신세계푸드마켓도곡,3232A46,37.490298,127.054895,1
스타벅스 삼성,3232A47,37.50689646,127.0557187,1
스타벅스 선릉세화빌딩,3232A48,37.50377562,127.051196,1
스타벅스 압구정역,3232A49,37.52674095,127.0281105,1
스타벅스 압구정로,3232A50,37.52680046,127.0347174,1
스타벅스 구역삼사거리,3232A51,37.49592355,127.0388645,1
스타벅스 큰길타워,3232A52,37.50236693,127.0407,1
스타벅스 강남구청역,3232A53,37.5165849,127.0412433,1
스타벅스 대치역,3232A54,37.493554,127.061874,1
스타벅스 포이,3232A55,37.47781106,127.0451411,1
스타벅스 아크플레이스,3232A56,37.49971982,127.0349084,1
스타벅스 학여울역,3232A57,37.49803646,127.0684943,1
스타벅스 선정릉역,3232A58,37.5107549,127.0445597,1
스타벅스 삼성현대힐,3232A59,37.51350444,127.0527375,1
스타벅스 GS타워,3232A60,37.5018592,127.0372776,1
스타벅스 압구정미소,3232A61,37.52391271,127.0280721,1
스타벅스 선릉역,3232A62,37.50393894,127.0485135,1
스타벅스 코엑스사거리,3232A63,37.515351,127.060109,1
스타벅스 역삼럭키,3232A64,37.492209,127.039389,1
스타벅스 신압구정,3232A65,37.528115,127.036441,1
스타벅스 아크로힐스논현,3232A66,37.50901331,127.0403524,1
스타벅스 강남비젼타워,3232A67,37.4964557,127.0296885,1
스타벅스 압구정로데오역,3232A68,37.526549,127.040437,1
스타벅스 르네상스사거리,3232A69,37.502721,127.044308,1
스타벅스 포스코,3232A70,37.50576458,127.0580449,1
스타벅스 선릉로,3232A71,37.50498119,127.0468081,1
스타벅스 논현힐탑,3232A72,37.51159269,127.0321931,1
스타벅스 도산가로수길,3232A73,37.5173623,127.0232957,1
스타벅스 매봉역,3232A74,37.4859095,127.0452879,1
스타벅스 대치한티,3232A75,37.4984818,127.052066,1
스타벅스 개포동,3232A76,37.48285514,127.0607152,1
스타벅스 수서역사거리,3232A77,37.48732679,127.1031401,1
스타벅스 코엑스아셈타워,3232A78,37.513019,127.059838,1
스타벅스 센터필드R,3232A79,37.50369465,127.0417208,1
스타벅스 도산사거리,3232A80,37.51966,127.0341,1
스타벅스 강남세곡,3232A81,37.46727432,127.0999297,1
스타벅스 대치삼성,3232A82,37.500313,127.066961,1
스타벅스 언주역,3232A83,37.50777566,127.0365883,1
스타벅스 강남역신분당역사,3232A84,37.49705725,127.0281807,1
스타벅스 삼성역,3232A85,37.50920696,127.0656085,1
스타벅스 테헤란로아남타워,3232A86,37.50383,127.04487,1
스타벅스 강남논현,3232A87,37.50789786,127.0233386,1
스타벅스 삼성동,3232A88,37.51084337,127.0636334,1
스타벅스 청담역,3232A89,37.51944073,127.0495527,1
스타벅스 압구정현대아파트,3232A90,37.52521971,127.0256602,1
스타벅스 강남청담빌딩,3232A91,37.517887,127.041375,1
스타벅스 역삼이마트,3232A92,37.499367,127.048425,1
스타벅스 강남세곡DT,3232A93,37.46699381,127.1183308,1
스타벅스 미아뉴타운,3232A94,37.618319,127.021072,1
스타벅스 강북구청사거리,3232A95,37.63998786,127.0274331,1
스타벅스 미아사거리역,3232A96,37.611809,127.0306971,1
스타벅스 수유역,3232A97,37.6380167,127.026135,1
스타벅스 미아역,3232A98,37.626148,127.026578,1
스타벅스 수유역5번출구,3232A99,37.63672268,127.0233221,1
스타벅스 파라스파라서울,3232A100,37.6641955,127.0104073,1
스타벅스 발산역사거리,3232A101,37.558509,126.835096,1
스타벅스 마곡역,3232A102,37.559611,126.826298,1
스타벅스 우장산역,3232A103,37.54951004,126.8360616,1
스타벅스 마곡사이언스타워R,3232A104,37.5605261,126.833887,1
스타벅스 방화DT,3232A105,37.57445683,126.8164881,1
스타벅스 마곡나루역,3232A106,37.56813,126.82614,1
스타벅스 마곡GMG,3232A107,37.560487,126.829667,1
스타벅스 가양역,3232A108,37.56164,126.853327,1
스타벅스 화곡DT,3232A109,37.53501075,126.863188,1
스타벅스 양천향교역,3232A110,37.566964,126.840731,1
스타벅스 화곡동,3232A111,37.54061902,126.837388,1
스타벅스 등촌,3232A112,37.5582043,126.8443392,1
스타벅스 염창역,3232A113,37.547359,126.874436,1
스타벅스 발산역,3232A114,37.56030145,126.8391335,1
스타벅스 까치산역,3232A115,37.53232351,126.8461233,1
스타벅스 염창대로,3232A116,37.54854791,126.8782593,1
